student_id,class_level,department,strength_level,term1_avg,term2_avg,term3_avg,session_avg,consistency_score,performance_trend,t1_Mathematics,t1_English_Language,t1_Basic_Science,t1_Social_Studies,t1_Civic_Education,t1_Physical_Education,t1_Cultural_and_Creative_Arts,t1_Computer_Studies,t1_Business_Studies,t1_Agricultural_Science,t1_Home_Economics,t1_French,t2_Mathematics,t2_English_Language,t2_Basic_Science,t2_Social_Studies,t2_Civic_Education,t2_Physical_Education,t2_Cultural_and_Creative_Arts,t2_Computer_Studies,t2_Business_Studies,t2_Agricultural_Science,t2_Home_Economics,t2_French,t3_Mathematics,t3_English_Language,t3_Basic_Science,t3_Social_Studies,t3_Civic_Education,t3_Physical_Education,t3_Cultural_and_Creative_Arts,t3_Computer_Studies,t3_Business_Studies,t3_Agricultural_Science,t3_Home_Economics,t3_French,science_aptitude_score,arts_aptitude_score,commercial_aptitude_score,best_subject,best_subject_score,weak_subject,weak_subject_score,grade_A_count,grade_B_count,grade_C_count,grade_D_count,grade_E_count,grade_F_count,career_path,t1_Physics,t1_Chemistry,t1_Biology,t1_Further_Mathematics,t1_Computer_Science,t1_Geography,t2_Physics,t2_Chemistry,t2_Biology,t2_Further_Mathematics,t2_Computer_Science,t2_Geography,t3_Physics,t3_Chemistry,t3_Biology,t3_Further_Mathematics,t3_Computer_Science,t3_Geography,t1_Literature_in_English,t1_Government,t1_CRS_IRK,t1_History,t1_Economics,t1_Yoruba_Hausa_Igbo,t2_Literature_in_English,t2_Government,t2_CRS_IRK,t2_History,t2_Economics,t2_Yoruba_Hausa_Igbo,t3_Literature_in_English,t3_Government,t3_CRS_IRK,t3_History,t3_Economics,t3_Yoruba_Hausa_Igbo,t1_Accounting,t1_Commerce,t1_Office_Practice,t1_Insurance,t2_Accounting,t2_Commerce,t2_Office_Practice,t2_Insurance,t3_Accounting,t3_Commerce,t3_Office_Practice,t3_Insurance
11,JSS2,N_A,average,72.31,62.82,70.23,68.45,91.85,Stable,62.9,52.1,84.8,95.4,68.5,82.8,62.8,63.3,66.0,86.1,82.7,60.3,45.0,73.5,67.7,73.4,57.5,59.7,50.9,51.8,58.3,75.1,67.9,73.0,73.2,76.4,78.9,76.9,80.2,55.7,74.8,66.7,70.7,80.9,63.6,44.8,72.93,76.03,71.95,Agricultural_Science,80.9,French,44.8,5,4,2,0,1,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,JSS2,N_A,low,49.27,49.53,50.77,49.86,98.69,Stable,53.6,56.1,34.5,61.8,47.7,43.6,47.4,53.6,50.3,44.0,48.4,50.3,35.0,70.2,51.8,54.4,70.0,48.1,47.5,40.9,33.7,34.8,54.2,53.8,38.3,57.8,79.4,63.9,49.6,33.7,46.8,45.1,27.3,60.6,54.1,52.7,54.27,56.17,32.8,Basic_Science,79.4,Business_Studies,27.3,1,0,5,3,0,3,Education & Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,JSS2,N_A,high,73.05,73.62,73.41,73.36,99.53,Stable,79.3,78.4,90.7,79.7,69.9,68.5,73.7,66.1,69.1,88.3,38.5,74.4,79.7,59.8,77.5,82.3,67.3,50.6,75.8,65.4,74.0,97.0,76.3,77.7,77.6,73.1,78.6,79.3,74.8,67.2,56.6,69.5,76.7,76.8,78.2,72.5,75.23,69.67,77.15,Social_Studies,79.3,Cultural_and_Creative_Arts,56.6,6,5,1,0,0,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,JSS2,N_A,low,58.62,58.46,57.02,58.03,98.56,Stable,69.1,62.5,52.9,73.7,54.2,43.2,46.9,56.6,71.7,43.7,84.0,44.9,76.6,57.4,55.4,57.6,45.0,70.2,36.5,42.6,76.2,62.0,68.9,53.1,91.8,51.8,44.7,86.1,48.8,48.2,49.5,41.9,68.4,61.6,41.9,49.5,59.47,62.47,80.1,Mathematics,91.8,Computer_Studies,41.9,2,1,2,4,3,0,Business & Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,JSS2,N_A,average,66.61,64.7,64.35,65.22,98.01,Stable,50.5,59.1,73.1,64.3,53.0,65.6,52.3,91.3,77.5,60.4,75.3,76.9,90.8,43.0,62.6,78.5,66.1,61.4,61.2,63.8,76.8,48.3,71.6,52.3,100.0,54.7,76.1,47.2,71.2,74.2,58.2,78.5,57.7,51.4,53.5,49.5,84.87,53.37,78.85,Mathematics,100.0,Social_Studies,47.2,3,2,5,2,0,0,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,JSS2,N_A,high,74.25,75.88,80.97,77.03,94.28,Improving,72.0,91.0,68.8,87.9,65.8,72.2,97.1,79.4,62.8,60.5,67.1,66.4,73.2,74.8,71.2,100.0,63.5,77.2,96.3,79.1,83.2,77.5,64.2,50.4,83.8,91.5,91.6,100.0,90.0,68.4,66.0,85.6,78.6,79.6,78.0,58.6,87.0,85.83,81.2,Social_Studies,100.0,French,58.6,9,2,1,0,0,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,JSS2,N_A,low,53.69,53.18,52.98,53.28,99.4,Stable,76.7,54.0,36.1,73.1,54.8,44.4,56.2,51.7,54.6,41.5,56.4,44.8,68.0,38.4,52.7,62.3,49.6,51.6,43.0,65.9,52.9,40.1,57.5,56.2,69.4,40.8,49.3,82.4,42.8,52.6,53.0,30.5,69.0,43.3,50.5,52.1,49.73,58.73,69.2,Social_Studies,82.4,Computer_Studies,30.5,1,2,4,1,3,1,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,JSS2,N_A,average,71.57,73.92,71.96,72.48,97.94,Stable,74.8,59.9,79.7,87.8,63.8,60.7,49.1,71.9,79.8,61.7,91.0,78.6,80.6,48.5,100.0,64.4,87.0,63.3,53.9,96.9,82.5,60.8,65.7,83.5,76.8,58.4,87.2,61.8,68.7,70.5,63.3,100.0,87.7,64.4,61.1,63.6,88.0,61.17,82.25,Computer_Studies,100.0,English_Language,58.4,4,2,6,0,0,0,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,JSS2,N_A,average,64.09,63.62,65.31,64.34,98.58,Stable,77.1,67.1,69.5,93.2,53.7,58.3,62.8,61.2,41.8,49.6,68.5,66.3,58.0,78.7,52.5,99.4,63.8,51.9,85.4,41.3,53.0,48.1,64.5,66.9,62.2,77.3,93.1,75.1,73.8,61.5,73.8,52.8,46.2,50.2,49.1,68.6,69.37,75.4,54.2,Basic_Science,93.1,Business_Studies,46.2,3,3,4,2,0,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,JSS2,N_A,average,73.83,74.83,70.8,73.15,96.57,Stable,83.7,88.4,86.4,88.5,85.4,78.5,73.9,59.2,66.6,63.0,48.6,63.7,95.1,86.3,89.2,71.4,64.6,58.3,55.9,91.3,63.7,55.0,94.3,72.8,94.6,90.7,85.8,75.3,66.5,70.8,64.6,62.7,58.9,57.4,68.4,53.9,81.03,76.87,76.75,Mathematics,94.6,French,53.9,4,3,5,0,0,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,JSS2,N_A,high,76.89,74.85,76.23,75.99,98.3,Stable,88.4,80.4,72.4,100.0,64.6,69.5,54.3,82.4,81.7,73.6,68.2,87.2,91.0,84.2,70.1,92.1,50.2,72.3,72.3,57.4,95.3,82.0,62.3,69.0,97.2,88.3,72.0,92.9,68.7,81.7,70.3,68.5,69.4,62.5,64.1,79.2,79.23,83.83,83.3,Mathematics,97.2,Agricultural_Science,62.5,5,5,2,0,0,0,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,JSS2,N_A,average,58.04,58.6,63.56,60.07,95.04,Improving,44.0,66.2,46.7,72.6,88.7,49.4,59.0,53.9,66.4,56.7,36.6,56.3,55.4,70.4,37.0,77.9,70.8,59.8,35.5,57.5,59.5,58.8,67.1,53.5,45.0,75.4,61.8,75.3,71.1,43.7,63.5,51.0,78.1,70.4,62.2,65.2,52.6,71.4,61.55,Business_Studies,78.1,Physical_Education,43.7,3,3,4,1,1,0,Education & Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,JSS2,N_A,average,64.57,69.12,63.18,65.62,94.93,Stable,59.7,79.2,59.2,91.2,55.9,66.1,59.8,65.2,45.8,64.1,70.8,57.8,74.0,75.4,67.1,93.0,66.8,69.3,63.9,72.0,61.9,68.3,57.0,60.8,67.9,91.9,67.1,81.0,51.3,58.3,62.9,43.6,63.3,48.1,60.4,62.4,59.53,78.6,65.6,English_Language,91.9,Computer_Studies,43.6,2,2,6,1,1,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,JSS2,N_A,average,65.88,66.08,70.37,67.44,95.86,Improving,66.4,52.5,60.2,51.9,60.4,80.0,73.1,79.4,79.2,73.2,65.3,49.0,91.4,60.5,82.9,36.0,65.4,59.4,56.3,80.8,53.9,67.8,83.4,55.1,84.9,66.5,88.7,51.7,67.5,82.5,81.3,78.1,74.6,69.5,55.0,44.1,83.9,66.5,79.75,Basic_Science,88.7,French,44.1,5,4,2,0,1,0,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,JSS2,N_A,average,62.14,58.47,63.77,61.46,95.57,Stable,58.3,74.0,66.0,80.0,51.0,35.3,60.9,52.2,70.5,63.3,65.0,69.2,86.6,48.6,37.2,80.9,54.6,50.7,41.2,47.8,89.9,48.6,54.0,61.5,77.8,84.7,61.7,78.2,67.3,38.5,58.1,46.9,74.1,42.1,71.9,63.9,62.13,73.67,75.95,English_Language,84.7,Physical_Education,38.5,3,3,3,1,1,1,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,JSS2,N_A,average,61.0,60.65,56.88,59.51,96.27,Declining,57.0,49.3,55.9,65.7,57.2,48.3,93.1,52.7,71.6,51.9,75.6,53.7,39.8,88.8,50.5,75.6,55.8,55.8,83.7,42.2,44.8,41.8,84.7,64.3,49.0,66.1,58.7,50.9,42.1,70.4,69.2,45.7,57.6,70.4,58.1,44.4,51.13,62.07,53.3,Physical_Education,70.4,Civic_Education,42.1,0,4,4,2,2,0,Creative Arts & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,JSS2,N_A,average,76.98,73.46,73.99,74.81,96.9,Stable,90.3,96.9,92.7,66.1,74.5,64.2,96.2,61.4,77.5,60.3,72.7,71.0,74.0,77.4,88.7,83.0,68.8,62.1,64.7,48.9,90.8,91.4,60.7,71.0,100.0,80.8,84.9,59.6,77.7,65.8,44.9,95.3,66.8,74.3,69.7,68.1,93.4,61.77,83.4,Mathematics,100.0,Cultural_and_Creative_Arts,44.9,5,5,1,0,1,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,JSS2,N_A,average,65.12,68.78,64.86,66.25,96.42,Stable,75.4,54.5,86.6,51.7,59.0,68.7,54.1,70.9,39.9,71.1,77.7,71.9,91.0,61.4,78.9,68.4,66.0,67.6,66.2,69.7,65.9,65.8,61.8,62.7,52.8,45.7,80.4,69.0,90.1,62.0,65.6,67.6,34.9,75.4,71.3,63.5,66.93,60.1,43.85,Civic_Education,90.1,Business_Studies,34.9,3,4,3,1,0,1,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
